category,name,latitude,longitude,is_closed,rating,url,review_count,transactions,address,zip_code
mediterranean,Zaytoon Mediterranean,37.77515,-122.43804,False,4.0,https://www.yelp.com/biz/zaytoon-mediterranean-san-francisco-2?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,87,"['pickup', 'delivery']","['607 Divisadero St', 'San Francisco, CA 94117']",94117
thai,One Waan,37.73316,-122.434448,False,4.0,https://www.yelp.com/biz/one-waan-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,227,"['pickup', 'restaurant_reservation', 'delivery']","['2922 Diamond St', 'San Francisco, CA 94131']",94131
newamerican,Whitechapel SF,37.7824077817325,-122.418771721423,False,4.0,https://www.yelp.com/biz/whitechapel-sf-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,457,['restaurant_reservation'],"['600 Polk St', 'San Francisco, CA 94102']",94102
chinese,Eight Tables by George Chen,37.7984516089432,-122.407781330184,False,4.5,https://www.yelp.com/biz/eight-tables-by-george-chen-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,119,[],"['8 Kenneth Rexroth Pl', 'San Francisco, CA 94133']",94133
newamerican,Nightbird,37.7765624073566,-122.422850296141,False,4.0,https://www.yelp.com/biz/nightbird-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,151,[],"['330 Gough St', 'San Francisco, CA 94102']",94102
italian,Tortellino,37.77674,-122.41636,False,4.5,https://www.yelp.com/biz/tortellino-san-francisco-4?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,15,"['pickup', 'delivery']","['1355 Market St', 'San Francisco, CA 94103']",94103
wine_bars,Birba,37.77787,-122.42421,False,4.5,https://www.yelp.com/biz/birba-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,114,[],"['458 Grove St', 'San Francisco, CA 94102']",94102
wine_bars,Noeteca Wine Bar,37.74453,-122.42407,False,4.5,https://www.yelp.com/biz/noeteca-cafe-wine-bar-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,464,"['pickup', 'restaurant_reservation', 'delivery']","['1551 Dolores St', 'San Francisco, CA 94110']",94110
taiwanese,Tasty Pot,37.7827072888613,-122.468120008707,False,4.0,https://www.yelp.com/biz/tasty-pot-san-francisco?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,445,['pickup'],"['815 Clement St', 'San Francisco, CA 94118']",94118
korean,Wang Dae Bak,37.7321815,-122.4737625,False,3.5,https://www.yelp.com/biz/wang-dae-bak-san-francisco-3?adjust_creative=yzp0gecDlqYyzBkJGmyuPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=yzp0gecDlqYyzBkJGmyuPg,278,[],"['2642 Ocean Ave', 'San Francisco, CA 94132']",94132
