category,name,latitude,longitude,is_closed,rating,image_url,review_count,transactions,region
taiwanese,Tasty Pot,37.7827072888613,-122.468120008707,False,4.0,https://s3-media2.fl.yelpcdn.com/bphoto/5VoWZFxnl1_GwNl1Vl4oyw/o.jpg,445,['pickup'],region
pizza,Piccolo Forno,37.8013699308642,-122.411981038749,False,4.5,https://s3-media3.fl.yelpcdn.com/bphoto/SgkcY-4OaGYiPlsHKABZ8Q/o.jpg,557,"['delivery', 'pickup']",region
newamerican,Barbarossa Lounge,37.7960137277842,-122.403321862221,False,4.0,https://s3-media3.fl.yelpcdn.com/bphoto/XSAK-bulUUsvjTmYoKOCCg/o.jpg,435,['restaurant_reservation'],region
hotpot,My Pot,37.7473818,-122.4596398,False,4.5,https://s3-media1.fl.yelpcdn.com/bphoto/QDVm9JV901sADIeqdetI5A/o.jpg,113,['restaurant_reservation'],region
cocktailbars,Louie's Gen-Gen Room,37.78818,-122.41458,False,4.5,https://s3-media2.fl.yelpcdn.com/bphoto/8tA-roKcyy7i0JimZ15VFQ/o.jpg,206,['restaurant_reservation'],region
breakfast_brunch,Laguna Restaurant,37.7765676,-122.4264822,False,4.0,https://s3-media2.fl.yelpcdn.com/bphoto/-yqA7rDwuSbpfe8s8DXlqQ/o.jpg,162,"['delivery', 'pickup', 'restaurant_reservation']",region
cafes,Boba Guys,37.78365,-122.43247,False,4.0,https://s3-media4.fl.yelpcdn.com/bphoto/4kq5IQZOZQMpWJdmHkOVUw/o.jpg,622,[],region
italian,Great Gold,37.752349,-122.415498,False,4.0,https://s3-media4.fl.yelpcdn.com/bphoto/nR1AtFhiBEQn9h7BxX2v4A/o.jpg,58,"['delivery', 'pickup']",region
sandwiches,Pluto's,37.764082,-122.464775,False,4.0,https://s3-media2.fl.yelpcdn.com/bphoto/9rt22Go7sopELJr8yIO9eQ/o.jpg,1185,"['delivery', 'pickup']",region
cocktailbars,Lord George,37.7824636931654,-122.392651699483,False,4.0,https://s3-media3.fl.yelpcdn.com/bphoto/UC-4l5SHdQXanQM_Cegcmw/o.jpg,265,[],region
mediterranean,Fayala,37.78914,-122.3943,False,4.5,https://s3-media2.fl.yelpcdn.com/bphoto/xZyjoL2NfQ17pn7JpcwSkQ/o.jpg,260,"['delivery', 'pickup']",region
thai,Thep Eatery,37.771317,-122.430458,False,4.5,https://s3-media1.fl.yelpcdn.com/bphoto/70dbMItpPs1MNUfWX7b9jg/o.jpg,26,['delivery'],region
spanish,El Lopo,37.7890568,-122.4205053,False,4.5,https://s3-media1.fl.yelpcdn.com/bphoto/SjI8ORlJ3uXJwaf59ZOrEw/o.jpg,47,[],region
burmese,Beyond Burma,37.7796,-122.42023,False,4.5,https://s3-media3.fl.yelpcdn.com/bphoto/EwtQgyXwCBZANlhLi3kTAw/o.jpg,50,[],region
tacos,Chisme Cantina,37.78862,-122.41483,False,4.5,https://s3-media3.fl.yelpcdn.com/bphoto/VLj4WylvSfoUB9ove5QoNA/o.jpg,395,"['delivery', 'pickup']",region
mexican,Flores,37.7976161048577,-122.432580590249,False,4.0,https://s3-media2.fl.yelpcdn.com/bphoto/6KfLP2B6Sd2yyjdAIPJJTA/o.jpg,478,[],region
ramen,Tsuta Japanese Soba Noodles,37.7840695,-122.4034888,False,3.5,https://s3-media4.fl.yelpcdn.com/bphoto/CLYxqbm2lIvNfv1CPmoYRw/o.jpg,176,[],region
szechuan,Szechuan Cuisine,37.7636943071254,-122.478669355226,False,4.0,https://s3-media2.fl.yelpcdn.com/bphoto/lfW-17RFuG62S-n6PZ99fA/o.jpg,327,"['delivery', 'pickup']",region
senegalese,Little Baobab,37.76038,-122.41898,False,4.0,https://s3-media1.fl.yelpcdn.com/bphoto/C4h_8raB7NqD_35hbPyQRg/o.jpg,558,"['delivery', 'pickup', 'restaurant_reservation']",region
gastropubs,Trademark,37.77609,-122.40824,False,4.0,https://s3-media2.fl.yelpcdn.com/bphoto/TmilNmk1HqMGLwkhOyag4w/o.jpg,241,['restaurant_reservation'],region
newamerican,AL's Place,37.7490078521491,-122.42025397718,False,4.0,https://s3-media3.fl.yelpcdn.com/bphoto/08UwRSRGvRIyYGRewbdcQg/o.jpg,760,[],region
beerbar,The Brew Coop,37.75976,-122.42111,False,4.5,https://s3-media3.fl.yelpcdn.com/bphoto/eQto6kNODtq0Lxj4Bhvlog/o.jpg,208,"['delivery', 'pickup']",region
japanese,Sakesan Sushi & Bistro,37.7830954,-122.466049,False,4.0,https://s3-media2.fl.yelpcdn.com/bphoto/ZGDmAxFMtHMFtbFTVcgj7Q/o.jpg,1046,"['delivery', 'pickup', 'restaurant_reservation']",region
sandwiches,Chomp N' Swig,37.78024,-122.47526,False,4.0,https://s3-media3.fl.yelpcdn.com/bphoto/McTgCJpkHA7GQhZx5Pqnvg/o.jpg,340,['pickup'],region
breweries,Little Creatures Mission Bay,37.775227,-122.3902276,False,3.5,https://s3-media3.fl.yelpcdn.com/bphoto/3xXKSqa8NGme_RRKQrJ3qw/o.jpg,81,[],region
pizza,Ardiana,37.74235,-122.42634,False,4.5,https://s3-media2.fl.yelpcdn.com/bphoto/fF3N0EHSiB_q6MzFb-I8bg/o.jpg,118,[],region
southern,Hazel Southern Bar & Kitchen,37.7759435952097,-122.418609213492,False,4.0,https://s3-media2.fl.yelpcdn.com/bphoto/XkqzgLNf8FOccPZG76QZqQ/o.jpg,414,[],region
newamerican,Son's Addition,37.7527611898548,-122.411756327551,False,4.5,https://s3-media1.fl.yelpcdn.com/bphoto/gmz7DW2gvrJ2tBjKaPQiAQ/o.jpg,227,[],region
breakfast_brunch,Hollywood Cafe on Fillmore,37.78391,-122.43311,False,4.5,https://s3-media3.fl.yelpcdn.com/bphoto/LHKrWc7ek6C4B8gCBPA-rw/o.jpg,76,"['delivery', 'pickup']",region
seafood,The Old Clam House,37.743104492865,-122.404920842484,False,3.5,https://s3-media3.fl.yelpcdn.com/bphoto/sjwbORwA_ozWa6aX93eSvA/o.jpg,825,[],region
italian,Tortellino,37.77674,-122.41636,False,5.0,https://s3-media4.fl.yelpcdn.com/bphoto/zOGOTLC8FpkWMksI3lUtbg/o.jpg,14,"['delivery', 'pickup']",region
sandwiches,Grubbin',37.7429221,-122.4812913,False,4.5,https://s3-media4.fl.yelpcdn.com/bphoto/9TMMP7VB1iQ5XBzXCqAvRA/o.jpg,471,"['delivery', 'pickup']",region
burmese,Burma Club,37.782948,-122.407991,False,4.0,https://s3-media1.fl.yelpcdn.com/bphoto/J8a6g8_ED-8Nb65btnbCZw/o.jpg,92,[],region
ethiopian,Oasis Cafe,37.7778538803103,-122.438572457672,False,4.5,https://s3-media2.fl.yelpcdn.com/bphoto/4ox-rlhd2j0X164e3KTnog/o.jpg,241,[],region
thai,House of Thai,37.7862824,-122.4183383,False,4.0,https://s3-media4.fl.yelpcdn.com/bphoto/FuIU9gV4tj7ltXNJDATBPw/o.jpg,1348,"['delivery', 'pickup']",region
italian,Fiorella -Clement,37.7819188861214,-122.484491206706,False,4.0,https://s3-media3.fl.yelpcdn.com/bphoto/KfW1TdPwMEZ8OpSFHrPL-Q/o.jpg,430,[],region
chinese,IPOT,37.7638799551144,-122.473210170865,False,4.0,https://s3-media1.fl.yelpcdn.com/bphoto/wW-zVHVQ9j9fJkI0eey0fQ/o.jpg,991,[],region
newamerican,Magnolia Dogpatch,37.7577823468635,-122.388138502442,False,3.5,https://s3-media2.fl.yelpcdn.com/bphoto/ryAB6ZMv5tVodoDUfEmP7g/o.jpg,104,[],region
indpak,Mela Tandoori Kitchen,37.7811951935291,-122.419438585639,False,4.0,https://s3-media4.fl.yelpcdn.com/bphoto/Tq5oO_C3wH63DlDFQjEiTQ/o.jpg,573,"['pickup', 'restaurant_reservation']",region
japanese,Sushi Hon,37.7559672710911,-122.41243198514,False,4.5,https://s3-media4.fl.yelpcdn.com/bphoto/HySScnwsoAfXfDqvWUtVow/o.jpg,323,['restaurant_reservation'],region
